name,author,rating,total_review,type,current_price,first_price,book_url,asin
"SQL: 3 books 1 - The Ultimate Beginner, Intermediate & Expert Guides To Master SQL Programming Quickly with Practical Exercises",Mark Reed,4.5,284,Paperback,24.69,25.99,https://www.amazon.com//gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A1024232A6BCWAIDU40C&qualifier=1675411630&id=5298502975948635&widgetName=sp_atf&url=%2FSQL-Intermediate-Programming-Practical-Exercises%2Fdp%2FB0B5MM3RMK%2Fref%3Dsr_1_1_sspa%3Fcrid%3DGNW0L9FR9XFO%26keywords%3DSQL%2Bbook%26qid%3D1675411630%26sprefix%3Dsql%2Bb%252Caps%252C498%26sr%3D8-1-spons%26psc%3D1,B0B5MM3RMK
"SQL QuickStart Guide: The Simplified Beginner's Guide to Managing, Analyzing, and Manipulating Data With SQL",Walter Shields,4.6,1377,Paperback,22.49,24.99,https://www.amazon.com//gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A00885081GYT718IVFNF6&qualifier=1675411630&id=5298502975948635&widgetName=sp_atf&url=%2FSQL-QuickStart-Guide-Simplified-Manipulating%2Fdp%2F1945051752%2Fref%3Dsr_1_2_sspa%3Fcrid%3DGNW0L9FR9XFO%26keywords%3DSQL%2Bbook%26qid%3D1675411630%26sprefix%3Dsql%2Bb%252Caps%252C498%26sr%3D8-2-spons%26psc%3D1,1945051752
SQL [6 BOOKS in 1]: The Ultimate Beginner to Advanced Guide to Master SQL Quickly with Step-by-Step Practical Examples | Includes Interview Questions & Answers,Liam DeSantis,4.9,154,Paperback,21.99,21.99,https://www.amazon.com//gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A04955395YZSXYO1X3U7&qualifier=1675411630&id=5298502975948635&widgetName=sp_atf&url=%2FSQL-BOOKS-Step-Step-Practical%2Fdp%2FB0BRQDYFL7%2Fref%3Dsr_1_3_sspa%3Fcrid%3DGNW0L9FR9XFO%26keywords%3DSQL%2Bbook%26qid%3D1675411630%26sprefix%3Dsql%2Bb%252Caps%252C498%26sr%3D8-3-spons%26psc%3D1,B0BRQDYFL7
Python Programming and SQL: 5 books in 1 - The #1 Coding Course from Beginner to Advanced. Learn it Well & Fast (2023),Part of: Computer Programming (28 books),5.0,123,Paperback,36.99,36.99,https://www.amazon.com//gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A0903029O1FVHGNGEA84&qualifier=1675411630&id=5298502975948635&widgetName=sp_atf&url=%2FPython-Programming-SQL-Beginner-Advanced%2Fdp%2FB0BRYWKKVJ%2Fref%3Dsr_1_4_sspa%3Fcrid%3DGNW0L9FR9XFO%26keywords%3DSQL%2Bbook%26qid%3D1675411630%26sprefix%3Dsql%2Bb%252Caps%252C498%26sr%3D8-4-spons%26psc%3D1,B0BRYWKKVJ
"SQL: 3 books 1 - The Ultimate Beginner, Intermediate & Expert Guides To Master SQL Programming Quickly with Practical Exercises",Mark Reed,4.5,284,Paperback,24.69,25.99,https://www.amazon.com//SQL-Intermediate-Programming-Practical-Exercises/dp/B0B5MM3RMK/ref=sr_1_5?crid=GNW0L9FR9XFO&keywords=SQL+book&qid=1675411630&sprefix=sql+b%2Caps%2C498&sr=8-5,B0B5MM3RMK
"SQL QuickStart Guide: The Simplified Beginner's Guide to Managing, Analyzing, and Manipulating Data With SQL",Walter Shields,4.6,1377,Paperback,22.49,24.99,https://www.amazon.com//SQL-QuickStart-Guide-Simplified-Manipulating/dp/1945051752/ref=sr_1_6?crid=GNW0L9FR9XFO&keywords=SQL+book&qid=1675411630&sprefix=sql+b%2Caps%2C498&sr=8-6,1945051752
"Learning SQL: Generate, Manipulate, and Retrieve Data",Alan Beaulieu,4.6,384,Paperback,28.49,59.99,https://www.amazon.com//Learning-SQL-Generate-Manipulate-Retrieve/dp/1492057614/ref=sr_1_7?crid=GNW0L9FR9XFO&keywords=SQL+book&qid=1675411630&sprefix=sql+b%2Caps%2C498&sr=8-7,1492057614
"Practical SQL, 2nd Edition: A Beginner's Guide to Storytelling with Data",Anthony DeBarros,4.8,94,Paperback,13.49,27.99,https://www.amazon.com//Practical-SQL-2nd-Beginners-Storytelling/dp/1718501064/ref=sr_1_8?crid=GNW0L9FR9XFO&keywords=SQL+book&qid=1675411630&sprefix=sql+b%2Caps%2C498&sr=8-8,1718501064
Python Programming and SQL: 5 books in 1 - The #1 Coding Course from Beginner to Advanced. Learn it Well & Fast (2023) (Computer Programming),Part of: Computer Programming (28 books),5.0,123,Kindle,0.00,0.00,https://www.amazon.com//Python-Programming-SQL-Beginner-Advanced-ebook/dp/B0BS12Z42Z/ref=sr_1_9?crid=GNW0L9FR9XFO&keywords=SQL+book&qid=1675411630&sprefix=sql+b%2Caps%2C498&sr=8-9,B0BS12Z42Z
"SQL in 10 Minutes a Day, Sams Teach Yourself",Part of: Sams Teach Yourself (142 books),4.7,456,Paperback,23.99,29.99,https://www.amazon.com//SQL-Minutes-Sams-Teach-Yourself/dp/0135182794/ref=sr_1_10?crid=GNW0L9FR9XFO&keywords=SQL+book&qid=1675411630&sprefix=sql+b%2Caps%2C498&sr=8-10,0135182794
